School District,,,LEAID,,,,,,,,,,,,,,,,,PovertyRate,
Addison Central School District,NY,,3602370,"7,219",6.57,19.3,14.05,38.6,96.54,0.08,0.91,1.29,0,0.87,81.1,9,1.63,"40,086","50,200",19.4,"66,600"
Adirondack Central School District,NY,,3605040,"8,850",4.77,18.05,16.77,41.7,97.76,0.43,0.06,0.42,0,0.99,84.5,11.1,0.85,"44,750","53,601",12.7,"95,500"
Afton Central School District,NY,,3602400,"4,342",8.36,12.64,17.04,43.7,98.09,0,0,0,0,4.77,87.7,16,4.55,"43,910","52,652",15.6,"91,700"
Akron Central School District,NY,,3602430,"9,522",5.94,19.23,12.95,39.6,91.07,0.42,7.16,0.72,0,1.32,88.7,22.2,1.53,"55,419","63,264",10.4,"129,200"
Albany City School District,NY,,3602460,"93,878",5.39,13.47,12.27,30,60.5,28.3,0.52,3.78,0.09,6.55,87.2,36.4,4.56,"38,642","49,381",25.2,"165,200"
Albion Central School District,NY,,3602520,"15,780",4.96,14.76,13.4,39.7,83.38,11.72,1.44,0.58,0,5.56,84.2,13.2,2.02,"43,489","55,918",14.7,"77,200"
Alden Central School District,NY,,3602550,"13,236",3.74,15.28,15.42,43.1,92.4,5.83,0.17,0,0,2.36,86.6,15,1.62,"55,079","65,688",4.7,"139,900"
Alexander Central School District,NY,,3602580,"5,221",4.56,20.23,10.4,40,95.5,2.59,0,0.31,0,0.84,90.9,14.3,0.62,"52,986","61,845",6.9,"100,000"
Alexandria Central School District,NY,,3602670,"4,099",5.1,16.71,15.93,45.2,96.93,1.39,0,0,0,2.73,88.8,17.2,1.11,"35,560","51,518",20.8,"117,100"
Alfred-Almond Central School District,NY,,3602700,"8,041",3.95,9.43,8.48,21.2,91.94,2.14,0.15,4.37,0.19,1.64,93.7,45.5,2.38,"47,017","67,733",16.9,"96,700"
Allegany-Limestone Central School District,NY,,3600015,"9,470",4.54,14.58,12.72,28.5,94.58,2.07,0.57,1.07,0,2.15,91,23.8,1.29,"48,037","59,851",14.9,"83,400"
Altmar-Parish-Williamstown Central School District,NY,,3602820,"7,579",7.03,18.78,9.33,37.5,97.82,0.07,0.57,0.2,0,0.34,82,9.6,0.99,"49,640","54,958",13.2,"81,500"
Amagansett Union Free School District,NY,,3602880,"1,086",1.66,7.92,32.23,54.7,96.13,1.75,0,0,0,3.31,96.7,54.1,1.4,"81,821","81,857",6.9,"993,500"
Amherst Central School District,NY,,3602920,"23,262",5.9,15.61,14.33,38.6,87.41,6.76,0,3.86,0,2.29,95.4,56.2,4.92,"62,062","79,750",9.5,"132,000"
Amityville Union Free School District,NY,,3602940,"25,004",4.34,18.11,13.75,40.4,56.37,31.61,0.64,2.3,0,19.5,83.1,24.3,11.64,"67,202","81,801",6.8,"379,000"
Amsterdam City School District,NY,,3602970,"24,613",6.35,15.24,18.71,42.2,87.51,2.17,0.37,0.97,0,15.69,83.6,17.3,7.03,"40,380","52,924",15.8,"92,300"
Andes Central School District,NY,,3603000,"1,077",1.21,13.56,25.16,50.4,93.87,1.76,0,1.58,0,4.09,87.6,22.7,0.47,"39,896","56,726",8.4,"168,000"
Andover Central School District,NY,,3603030,"2,759",5.51,20.51,14.1,35.6,99.96,0,0,0,0,0,87.7,18.1,0.12,"46,100","50,500",19.4,"57,700"
