survyear	fipst	leaid	totd912	ebs912	drp912	totdpl	afgeb	afgr	totohc
2007-08	01	0100002	0	47	0.0	-1	14	-1.0	-1
2007-08	01	0100005	29	939	3.1	172	247	69.6	5
2007-08	01	0100006	41	1612	2.5	276	450	61.3	13
2007-08	01	0100007	38	3817	1.0	899	978	91.9	5
2007-08	01	0100008	27	2715	1.0	624	584	100.0	9
2007-08	01	0100009	0	163	0.0	-1	20	-1.0	-1
2007-08	01	0100010	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	01	0100011	15	401	3.7	72	107	67.3	6
2007-08	01	0100012	-3	622	-3.0	109	156	69.9	7
2007-08	01	0100013	14	1241	1.1	263	-2	-2.0	1
2007-08	01	0100014	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	01	0100015	0	0	-2.0	0	-2	-2.0	-1
2007-08	01	0100016	0	8	0.0	-1	-2	-1.0	-1
2007-08	01	0100017	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	01	0100018	-2	285	-2.0	-1	69	-1.0	-1
2007-08	01	0100019	0	0	-2.0	0	-2	-2.0	-1
2007-08	01	0100020	-4	1	-4.0	0	-2	-2.0	-1
2007-08	01	0100021	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100022	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100023	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100024	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100026	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100028	0	0	-2.0	0	-2	-2.0	-1
2007-08	01	0100029	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100030	33	1005	3.3	201	288	69.8	3
2007-08	01	0100032	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100033	0	0	-2.0	0	-2	-2.0	-1
2007-08	01	0100035	0	12	0.0	-1	-2	-1.0	-1
2007-08	01	0100036	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	01	0100037	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100038	0	9	0.0	0	-2	-2.0	-1
2007-08	01	0100039	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100040	-4	2	-4.0	0	-2	-2.0	-1
2007-08	01	0100041	-4	3	-4.0	0	-2	-2.0	-1
2007-08	01	0100042	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100043	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100044	0	5	0.0	-1	-2	-1.0	-1
2007-08	01	0100045	0	8	0.0	0	-2	-2.0	-1
2007-08	01	0100046	-2	-2	-2.0	0	-2	-2.0	-1
2007-08	01	0100060	8	441	1.8	93	129	72.1	9
2007-08	01	0100090	44	612	7.2	96	199	48.2	10
2007-08	01	0100100	9	736	1.2	186	211	88.2	0
2007-08	01	0100120	7	889	0.8	186	232	80.2	1
2007-08	01	0100173	0	8	0.0	0	-2	-2.0	-1
2007-08	01	0100174	0	23	0.0	-1	-2	-1.0	-1
2007-08	01	0100175	0	9	0.0	0	-2	-2.0	-1
2007-08	01	0100176	0	166	0.0	-1	-2	-2.0	-1
2007-08	01	0100178	0	31	0.0	-1	-2	-1.0	-1
2007-08	01	0100179	0	15	0.0	0	-2	-2.0	-1
2007-08	01	0100180	30	692	4.3	150	209	71.8	1
2007-08	01	0100181	-4	1	-4.0	0	-2	-2.0	-1
2007-08	01	0100183	0	7	0.0	0	-2	-2.0	-1
2007-08	01	0100184	0	15	0.0	-1	-2	-1.0	-1
2007-08	01	0100185	-2	-2	-2.0	-1	-2	-2.0	-2
2007-08	01	0100210	23	1589	1.4	351	370	94.9	7
2007-08	01	0100240	69	2916	2.4	548	744	73.7	13
2007-08	01	0100270	76	7860	1.0	1480	2076	71.3	40
2007-08	01	0100300	27	326	8.3	49	115	42.6	0
2007-08	01	0100330	48	1065	4.5	172	328	52.4	18
2007-08	01	0100360	26	969	2.7	184	279	65.9	8
2007-08	01	0100390	61	8287	0.7	1307	2538	51.5	86
2007-08	01	0100420	54	2311	2.3	469	621	75.5	33
2007-08	01	0100450	-3	390	-3.0	73	123	59.3	9
2007-08	01	0100480	22	509	4.3	104	152	68.4	6
2007-08	01	0100510	13	1032	1.3	213	297	71.7	26
2007-08	01	0100540	68	2623	2.6	527	737	71.5	25
2007-08	01	0100600	42	1179	3.6	186	325	57.2	18
2007-08	01	0100630	31	1202	2.6	243	325	74.8	7
2007-08	01	0100660	62	2119	2.9	411	584	70.4	46
2007-08	01	0100690	19	597	3.2	111	156	71.2	2
2007-08	01	0100720	18	1047	1.7	200	291	68.7	14
2007-08	01	0100750	-3	568	-3.0	96	156	61.5	11
2007-08	01	0100780	-3	792	-3.0	155	213	72.8	6
2007-08	01	0100810	6	643	0.9	134	176	76.1	9
2007-08	01	0100840	33	896	3.7	181	272	66.5	8
2007-08	01	0100870	10	462	2.2	81	138	58.7	0
2007-08	01	0100900	26	431	6.0	92	135	68.1	5
2007-08	01	0100930	18	991	1.8	205	271	75.6	3
2007-08	01	0100960	-3	720	-3.0	162	211	76.8	10
2007-08	01	0100990	16	835	1.9	179	216	82.9	5
2007-08	01	0101020	107	2847	3.8	584	813	71.8	39
2007-08	01	0101050	28	814	3.4	158	223	70.9	4
2007-08	01	0101080	9	389	2.3	82	130	63.1	4
2007-08	01	0101110	51	1362	3.7	240	398	60.3	41
2007-08	01	0101140	25	2410	1.0	433	640	67.7	37
2007-08	01	0101170	48	2648	1.8	520	717	72.5	26
2007-08	01	0101200	11	724	1.5	141	199	70.9	4
2007-08	01	0101230	97	2636	3.7	515	691	74.5	25
2007-08	01	0101260	13	287	4.5	61	76	80.3	4
2007-08	01	0101290	58	3311	1.8	606	901	67.3	37
2007-08	01	0101320	48	1849	2.6	341	441	77.3	4
2007-08	01	0101350	30	1310	2.3	241	321	75.1	10
2007-08	01	0101380	40	2624	1.5	507	684	74.1	17
2007-08	01	0101410	27	833	3.2	156	263	59.3	10
2007-08	01	0101440	18	846	2.1	137	232	59.1	28
2007-08	01	0101470	21	781	2.7	146	210	69.5	7
2007-08	01	0101530	41	1328	3.1	245	352	69.6	24
2007-08	01	0101560	15	774	1.9	151	225	67.1	15
2007-08	01	0101590	16	924	1.7	161	236	68.2	15
2007-08	01	0101620	4	1551	0.3	244	436	56.0	10
2007-08	01	0101640	13	365	3.6	81	112	72.3	4
2007-08	01	0101660	23	774	3.0	137	207	66.2	6
2007-08	01	0101680	14	426	3.3	78	129	60.5	1
2007-08	01	0101690	-3	568	-3.0	125	152	82.2	4
2007-08	01	0101710	4	918	0.4	150	227	66.1	1
2007-08	01	0101720	-3	457	-3.0	101	134	75.4	3
2007-08	01	0101730	-3	908	-3.0	193	268	72.0	8
2007-08	01	0101740	26	780	3.3	146	234	62.4	7
2007-08	01	0101760	9	1043	0.9	211	279	75.6	15
2007-08	01	0101770	17	1930	0.9	385	546	70.5	33
2007-08	01	0101800	144	6899	2.1	1274	1905	66.9	47
2007-08	01	0101830	40	1769	2.3	311	486	64.0	16
2007-08	01	0101860	-1	491	-1.0	90	112	80.4	2
2007-08	01	0101890	8	791	1.0	162	208	77.9	6
2007-08	01	0101920	207	11379	1.8	2141	3232	66.2	139
