SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2008-09	01	0100002	-2	-2	-2.0	-2	4	-2.0	-2
2008-09	01	0100005	21	976	2.1	171	267	64.0	10
2008-09	01	0100006	21	1671	1.3	325	485	67.0	12
2008-09	01	0100007	30	3823	0.8	775	865	89.6	21
2008-09	01	0100008	19	2820	0.7	663	654	100.0	5
2008-09	01	0100009	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100011	12	397	3.0	87	112	77.7	3
2008-09	01	0100012	9	647	1.4	138	178	77.5	6
2008-09	01	0100013	5	1222	0.4	283	-2	-2.0	10
2008-09	01	0100015	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100016	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100018	-2	-2	-2.0	-2	60	-2.0	-2
2008-09	01	0100019	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100020	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100021	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100022	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100023	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100024	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100026	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100028	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100029	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100030	16	1017	1.6	176	278	63.3	10
2008-09	01	0100032	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100033	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100035	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100036	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100037	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100038	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100039	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100040	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100041	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100042	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100043	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100044	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100045	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100046	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100060	4	434	0.9	93	127	73.2	6
2008-09	01	0100090	21	603	3.5	102	179	57.0	15
2008-09	01	0100100	11	729	1.5	149	175	85.1	1
2008-09	01	0100120	7	889	0.8	197	224	87.9	4
2008-09	01	0100173	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100174	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100175	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100176	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100178	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100179	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	01	0100180	14	678	2.1	144	213	67.6	3
